tipo_crimen,año,mes,provincia,sexo,rango_de_edad,tipo_de_arma_utilizada,distrito
Homicidio,2017,Marzo,Colon,Masculino,25-29,Arma de Fuego,No disponible
Homicidio,2017,Marzo,Veraguas,Masculino,No disponible,Arma Blanca,No disponible
Homicidio,2017,Marzo,Panama,Masculino,18-24,Arma de Fuego,No disponible
Homicidio,2017,Marzo,Panama,Masculino,80 y mas,Arma Blanca,No disponible
Homicidio,2017,Marzo,Panama,Masculino,18-24,Arma de Fuego,No disponible
Homicidio,2017,Marzo,Panama,Masculino,15-17,Arma de Fuego,No disponible
Homicidio,2017,Marzo,Panama,Masculino,30-34,Arma de Fuego,No disponible
Homicidio,2017,Marzo,Panama,Femenino,30-34,Arma de Fuego,No disponible
Homicidio,2017,Marzo,Panama,Masculino,30-34,Arma Blanca,No disponible
Homicidio,2017,Marzo,Panama,Masculino,18-24,Arma de Fuego,No disponible
Homicidio,2017,Marzo,Panama,Masculino,18-24,Arma Blanca,No disponible
Homicidio,2017,Marzo,Panama,Masculino,55-59,Arma de Fuego,No disponible
Homicidio,2017,Marzo,Panama,Masculino,15-17,Arma de Fuego,No disponible
Homicidio,2017,Marzo,Panama,Masculino,25-29,Arma de Fuego,No disponible
Homicidio,2017,Marzo,Panama,Masculino,25-29,Arma de Fuego,No disponible
Homicidio,2017,Marzo,Panama,Masculino,25-29,Arma de Fuego,No disponible
Homicidio,2017,Marzo,Darien,Masculino,No disponible,No disponible,No disponible
Homicidio,2017,Abril,Panama,Masculino,18-24,Arma de Fuego,San Miguelito
Homicidio,2017,Abril,Panama,Masculino,30-34,Arma de Fuego,San Miguelito
Homicidio,2017,Abril,Panama,Masculino,25-29,Arma Blanca,San Miguelito
Homicidio,2017,Abril,Panama Oeste,Masculino,65-69,Arma Blanca,No disponible
Homicidio,2017,Abril,Panama Oeste,Masculino,55-59,Arma Blanca,No disponible
Homicidio,2017,Abril,Panama Oeste,Masculino,18-24,Arma de Fuego,No disponible
Homicidio,2017,Abril,Panama Oeste,Masculino,18-24,Arma de Fuego,No disponible
Homicidio,2017,Abril,Panama Oeste,Masculino,30-34,Arma Blanca,No disponible
Homicidio,2017,Abril,Chiriqui,Masculino,30-34,Arma de Fuego,No disponible
Homicidio,2017,Abril,Chiriqui,Masculino,18-24,Arma de Fuego,No disponible
Homicidio,2017,Abril,Colon,Masculino,30-34,Arma de Fuego,No disponible
Homicidio,2017,Abril,Colon,Masculino,40-44,Arma de Fuego,No disponible
Homicidio,2017,Abril,Colon,Masculino,30-34,Arma de Fuego,No disponible
Homicidio,2017,Abril,Colon,Masculino,35-39,Arma de Fuego,No disponible
Homicidio,2017,Abril,Colon,Masculino,No disponible,Arma de Fuego,No disponible
Homicidio,2017,Abril,Colon,Masculino,18-24,Arma de Fuego,No disponible
Homicidio,2017,Abril,Panama,Masculino,45-49,Objeto contundente,No disponible
Homicidio,2017,Abril,Panama,Masculino,35-39,Arma de Fuego,No disponible
Homicidio,2017,Abril,Panama,Masculino,30-34,Arma de Fuego,No disponible
Homicidio,2017,Abril,Panama,Masculino,25-29,Arma de Fuego,No disponible
Homicidio,2017,Abril,Panama,Masculino,No disponible,Arma de Fuego,No disponible
Homicidio,2017,Abril,Panama,Masculino,35-39,Arma de Fuego,No disponible
Homicidio,2017,Abril,Panama,Masculino,25-29,Arma de Fuego,No disponible
Homicidio,2017,Abril,Panama,Masculino,40-44,Arma Blanca,No disponible
Homicidio,2017,Abril,Panama,Masculino,18-24,Arma de Fuego,No disponible
Homicidio,2017,Abril,Panama,Masculino,18-24,Arma de Fuego,No disponible
Homicidio,2017,Abril,Panama,Masculino,15-17,Arma de Fuego,No disponible
Homicidio,2017,Abril,Panama,Masculino,40-44,Arma de Fuego,No disponible
Homicidio,2017,Abril,Panama,Masculino,30-34,Arma de Fuego,No disponible
Homicidio,2017,Abril,Panama,Masculino,45-49,Arma de Fuego,No disponible
Homicidio,2017,Mayo,Panama,Masculino,18-24,Arma de Fuego,San Miguelito
Homicidio,2017,Mayo,Panama,Masculino,18-24,Arma Blanca,San Miguelito
Homicidio,2017,Mayo,Panama,Masculino,18-24,Arma de Fuego,San Miguelito
Homicidio,2017,Mayo,Panama,Masculino,18-24,Arma de Fuego,San Miguelito
Homicidio,2017,Mayo,Panama,Masculino,35-39,Arma de Fuego,San Miguelito
Homicidio,2017,Mayo,Panama,Masculino,18-24,Arma de Fuego,San Miguelito
Homicidio,2017,Mayo,Panama,Masculino,18-24,Arma de Fuego,San Miguelito
Homicidio,2017,Mayo,Panama,Masculino,18-24,Arma de Fuego,San Miguelito
Homicidio,2017,Mayo,Panama Oeste,Masculino,35-39,Arma de Fuego,No disponible
Homicidio,2017,Mayo,Panama Oeste,Masculino,25-29,Arma de Fuego,No disponible
Homicidio,2017,Mayo,Panama Oeste,Masculino,25-29,Arma de Fuego,No disponible
Homicidio,2017,Mayo,Chiriqui,Masculino,80 y mas,No disponible,No disponible
Homicidio,2017,Mayo,Chiriqui,Masculino,18-24,No disponible,No disponible
Homicidio,2017,Mayo,Colon,Masculino,40-44,Arma de Fuego,No disponible
Homicidio,2017,Mayo,Colon,Masculino,15-17,Arma Blanca,No disponible
Homicidio,2017,Mayo,Colon,Masculino,15-17,Arma Blanca,No disponible
Homicidio,2017,Mayo,Colon,Masculino,35-39,Arma de Fuego,No disponible
Homicidio,2017,Mayo,Colon,Masculino,40-44,Arma de Fuego,No disponible
Homicidio,2017,Mayo,Colon,Masculino,0-4,Arma de Fuego,No disponible
Homicidio,2017,Mayo,Colon,Masculino,18-24,Arma Blanca,No disponible
Homicidio,2017,Mayo,Colon,Masculino,30-34,Arma de Fuego,No disponible
Homicidio,2017,Mayo,Colon,Masculino,18-24,Arma de Fuego,No disponible
Homicidio,2017,Mayo,Colon,Masculino,18-24,Arma de Fuego,No disponible
Homicidio,2017,Mayo,Colon,Masculino,25-29,Arma Blanca,No disponible
Homicidio,2017,Mayo,Colon,Femenino,50-54,No disponible,No disponible
Homicidio,2017,Mayo,Herrera,Femenino,75-79,Arma Blanca,No disponible
Homicidio,2017,Mayo,Panama,Masculino,30-34,Arma de Fuego,No disponible
Homicidio,2017,Mayo,Panama,Masculino,18-24,Arma de Fuego,No disponible
Homicidio,2017,Mayo,Panama,Masculino,15-17,Arma de Fuego,No disponible
Homicidio,2017,Mayo,Panama,Masculino,18-24,Arma de Fuego,No disponible
Homicidio,2017,Mayo,Panama,Masculino,40-44,Arma Blanca,No disponible
Homicidio,2017,Mayo,Panama,Masculino,35-39,Arma de Fuego,No disponible
Homicidio,2017,Mayo,Panama,Masculino,18-24,Arma de Fuego,No disponible
Homicidio,2017,Mayo,Panama,Masculino, 10-14,Arma de Fuego,No disponible
Homicidio,2017,Mayo,Panama,Femenino,45-49,Arma de Fuego,No disponible
Homicidio,2017,Mayo,Panama,Masculino,No disponible,Arma de Fuego,No disponible
Homicidio,2017,Mayo,Panama,Masculino,No disponible,Arma de Fuego,No disponible
Homicidio,2017,Mayo,Panama,Masculino,60-64,Arma de Fuego,No disponible
Homicidio,2017,Mayo,Panama,Masculino,35-39,Arma de Fuego,No disponible
Homicidio,2017,Mayo,Panama,Masculino,65-69,Arma de Fuego,No disponible
Homicidio,2017,Mayo,Panama,Masculino,65-69,Arma Blanca,No disponible
Homicidio,2017,Mayo,Panama,Masculino,30-34,Arma de Fuego,No disponible
Homicidio,2017,Mayo,Darien,Masculino,No disponible,No disponible,No disponible
Homicidio,2017,Mayo,Darien,Masculino,No disponible,No disponible,No disponible
Homicidio,2017,Mayo,Darien,Masculino,No disponible,No disponible,No disponible
Homicidio,2017,Junio,Panama,Masculino,15-17,Arma de Fuego,San Miguelito
Homicidio,2017,Junio,Panama,Femenino,30-34,Asfixia Mecanica,San Miguelito
Homicidio,2017,Junio,Panama,Masculino,18-24,No disponible,San Miguelito
Homicidio,2017,Junio,Panama Oeste,Masculino,25-29,Arma de Fuego,No disponible
Homicidio,2017,Junio,Panama Oeste,Masculino,18-24,Arma de Fuego,No disponible
Homicidio,2017,Junio,Chiriqui,Masculino,25-29,Arma Blanca,No disponible
Homicidio,2017,Junio,Chiriqui,Masculino,70-74,No disponible,No disponible
Homicidio,2017,Junio,Chiriqui,Masculino,15-17,Arma de Fuego,No disponible
Homicidio,2017,Junio,Cocle,Masculino,15-17,Arma Blanca,No disponible
Homicidio,2017,Junio,Colon,Masculino,No disponible,Arma de Fuego,No disponible
Homicidio,2017,Junio,Colon,Masculino,50-54,Arma Blanca,No disponible
Homicidio,2017,Junio,Colon,Masculino,18-24,Arma de Fuego,No disponible
Homicidio,2017,Junio,Cocle,Femenino,25-29,Arma Blanca,No disponible
Homicidio,2017,Junio,Panama,Masculino,25-29,Arma de Fuego,No disponible
Homicidio,2017,Junio,Panama,Masculino,18-24,Arma de Fuego,No disponible
Homicidio,2017,Junio,Panama,Masculino,25-29,Arma de Fuego,No disponible
Homicidio,2017,Junio,Panama,Masculino,25-29,Arma de Fuego,No disponible
Homicidio,2017,Junio,Panama,Masculino,40-44,Arma Blanca,No disponible
Homicidio,2017,Junio,Panama,Masculino,45-49,Arma Blanca,No disponible
Homicidio,2017,Junio,Panama,Masculino,45-49,Arma de Fuego,No disponible
Homicidio,2017,Junio,Panama,Masculino,45-49,Arma de Fuego,No disponible
Homicidio,2017,Junio,Panama,Masculino,45-49,Arma de Fuego,No disponible
Homicidio,2017,Julio,Panama,Masculino,30-34,No disponible,San Miguelito
Homicidio,2017,Julio,Panama Oeste,Masculino,18-24,Arma de Fuego,No disponible
Homicidio,2017,Julio,Panama Oeste,Masculino,18-24,Arma de Fuego,No disponible
Homicidio,2017,Julio,Panama Oeste,Masculino,25-29,Arma de Fuego,No disponible
Homicidio,2017,Julio,Panama Oeste,No disponible,No disponible,No disponible,No disponible
Homicidio,2017,Julio,Panama Oeste,Masculino,15-17,Arma de Fuego,No disponible
Homicidio,2017,Julio,Bocas del Toro,Masculino,65-69,Objeto contundente,No disponible
Homicidio,2017,Julio,Chiriqui,Masculino,75-79,No disponible,No disponible
Homicidio,2017,Julio,Colon,Masculino,30-34,Arma de Fuego,No disponible
Homicidio,2017,Julio,Colon,Masculino,25-29,Arma de Fuego,No disponible
Homicidio,2017,Julio,Colon,Masculino,18-24,Arma de Fuego,No disponible
Homicidio,2017,Julio,Colon,Masculino,45-49,Arma de Fuego,No disponible
Homicidio,2017,Julio,Colon,Masculino,18-24,Arma Blanca,No disponible
Homicidio,2017,Julio,Colon,Masculino,30-34,Arma de Fuego,No disponible
Homicidio,2017,Julio,Colon,Masculino,18-24,Arma de Fuego,No disponible
Homicidio,2017,Julio,Colon,Masculino,25-29,Arma de Fuego,No disponible
Homicidio,2017,Julio,Los Santos,Masculino,30-34,Arma de Fuego,No disponible
Homicidio,2017,Julio,Panama,Masculino,18-24,Arma de Fuego,No disponible
Homicidio,2017,Julio,Panama,Masculino,18-24,Arma de Fuego,No disponible
Homicidio,2017,Julio,Panama,Masculino,30-34,Arma de Fuego,No disponible
Homicidio,2017,Julio,Panama,Masculino,40-44,Arma de Fuego,No disponible
Homicidio,2017,Julio,Panama,Masculino,30-34,Arma de Fuego,No disponible
Homicidio,2017,Julio,Panama,Masculino,35-39,Arma Blanca,No disponible
Homicidio,2017,Julio,Panama,Masculino,40-44,Arma Blanca,No disponible
Homicidio,2017,Julio,Panama,Masculino,18-24,Arma de Fuego,No disponible
Homicidio,2017,Julio,Panama,Masculino,30-34,Arma de Fuego,No disponible
Homicidio,2017,Julio,Panama,Masculino,18-24,Arma de Fuego,No disponible
Homicidio,2017,Julio,Panama,Masculino,No disponible,Arma de Fuego,No disponible
Homicidio,2017,Julio,Panama,Masculino,15-17,Arma de Fuego,No disponible
Homicidio,2017,Julio,Panama,Masculino,45-49,Arma de Fuego,No disponible
Homicidio,2017,Julio,Panama,Masculino,18-24,Arma de Fuego,No disponible
Homicidio,2017,Julio,Panama,Masculino,18-24,Arma de Fuego,No disponible
Homicidio,2017,Julio,Panama,Masculino,30-34,Arma de Fuego,No disponible
Homicidio,2017,Julio,Panama,Masculino,No disponible,Arma de Fuego,No disponible
Homicidio,2017,Julio,Panama,Masculino, 10-14,Arma de Fuego,No disponible
Homicidio,2017,Julio,Darien,Masculino,No disponible,No disponible,No disponible
Homicidio,2017,Julio,Darien,Masculino,No disponible,No disponible,No disponible
Homicidio,2017,Julio,Darien,Masculino,No disponible,No disponible,No disponible
Homicidio,2017,Julio,Darien,Masculino,No disponible,No disponible,No disponible
Homicidio,2017,Agosto,Panama,Masculino,18-24,No disponible,San Miguelito
Homicidio,2017,Agosto,Panama,Masculino,50-54,No disponible,San Miguelito
Homicidio,2017,Agosto,Panama,Femenino, 5-9,Arma Blanca,San Miguelito
Homicidio,2017,Agosto,Panama Oeste,Masculino,60-64,No disponible,No disponible
Homicidio,2017,Agosto,Chiriqui,Masculino,40-44,Arma de Fuego,No disponible
Homicidio,2017,Agosto,Colon,Masculino,No disponible,Arma de Fuego,No disponible
Homicidio,2017,Agosto,Colon,Masculino,No disponible,Arma de Fuego,No disponible
Homicidio,2017,Agosto,Colon,Masculino,30-34,Arma de Fuego,No disponible
Homicidio,2017,Agosto,Colon,Masculino,No disponible,No disponible,No disponible
Homicidio,2017,Agosto,Los Santos,Masculino,45-49,Arma Blanca,No disponible
Homicidio,2017,Agosto,Panama,Masculino,18-24,Arma de Fuego,No disponible
Homicidio,2017,Agosto,Panama,Masculino,30-34,Arma de Fuego,No disponible
Homicidio,2017,Agosto,Panama,Masculino,35-39,Arma de Fuego,No disponible
Homicidio,2017,Agosto,Panama,Masculino,35-39,Arma Blanca,No disponible
Homicidio,2017,Agosto,Panama,Masculino,30-34,Arma de Fuego,No disponible
Homicidio,2017,Agosto,Panama,Masculino,40-44,Arma Blanca,No disponible
Homicidio,2017,Agosto,Panama,Masculino,30-34,Arma Blanca,No disponible
Homicidio,2017,Agosto,Panama,Masculino,No disponible,Arma de Fuego,No disponible
Homicidio,2017,Agosto,Panama,Masculino,No disponible,Arma de Fuego,No disponible
Homicidio,2017,Agosto,Panama,Femenino,18-24,Arma de Fuego,No disponible
Homicidio,2017,Agosto,Panama,Masculino,18-24,Arma de Fuego,No disponible
Homicidio,2017,Agosto,Panama,Masculino,18-24,Arma Blanca,No disponible
Homicidio,2017,Agosto,Panama,Masculino,50-54,Arma Blanca,No disponible
Homicidio,2017,Agosto,Panama,Masculino,18-24,Arma de Fuego,No disponible
Homicidio,2017,Agosto,Panama,Masculino,25-29,Objeto contundente,No disponible
Homicidio,2017,Agosto,Panama,Masculino, 10-14,Arma de Fuego,No disponible
Homicidio,2017,Agosto,Panama,Masculino,No disponible,Arma de Fuego,No disponible
Homicidio,2017,Agosto,Panama,Masculino,No disponible,Arma de Fuego,No disponible
Homicidio,2017,Agosto,Panama,Masculino,18-24,Arma de Fuego,No disponible
Homicidio,2017,Agosto,Darien,Masculino,No disponible,No disponible,No disponible
Homicidio,2017,Septiembre,Panama Oeste,Masculino,No disponible,Arma de Fuego,No disponible
Homicidio,2017,Septiembre,Panama Oeste,Femenino,30-34,Asfixia Mecanica,No disponible
Homicidio,2017,Septiembre,Panama Oeste,Masculino,45-49,Arma de Fuego,No disponible
Homicidio,2017,Septiembre,Panama,Masculino,35-39,Arma de Fuego,San Miguelito
Homicidio,2017,Septiembre,Panama,Masculino,18-24,Arma de Fuego,San Miguelito
Homicidio,2017,Septiembre,Panama,Masculino,40-44,Arma de Fuego,San Miguelito
Homicidio,2017,Septiembre,Panama,Masculino,18-24,Arma Blanca,San Miguelito
Homicidio,2017,Septiembre,Panama,Masculino,40-44,Arma Blanca,San Miguelito
Homicidio,2017,Septiembre,Chiriqui,Femenino,35-39,Arma de Fuego,No disponible
Homicidio,2017,Septiembre,Chiriqui,Masculino,35-39,No disponible,No disponible
Homicidio,2017,Septiembre,Chiriqui,Masculino,18-24,Arma de Fuego,No disponible
Homicidio,2017,Septiembre,Colon,Masculino,25-29,Arma Blanca,No disponible
Homicidio,2017,Septiembre,Colon,Masculino,18-24,Arma de Fuego,No disponible
Homicidio,2017,Septiembre,Colon,Masculino,30-34,Arma Blanca,No disponible
Homicidio,2017,Septiembre,Colon,Masculino,40-44,Arma de Fuego,No disponible
Homicidio,2017,Septiembre,Colon,Masculino,40-44,Arma de Fuego,No disponible
Homicidio,2017,Septiembre,Herrera,Masculino,40-44,Arma de Fuego,No disponible
Homicidio,2017,Septiembre,Panama,Masculino,No disponible,Arma de Fuego,No disponible
Homicidio,2017,Septiembre,Panama,Masculino,No disponible,Arma de Fuego,No disponible
Homicidio,2017,Septiembre,Panama,Masculino,18-24,Arma de Fuego,No disponible
Homicidio,2017,Septiembre,Panama,Masculino,45-49,Arma de Fuego,No disponible
Homicidio,2017,Septiembre,Panama,Femenino,25-29,Arma de Fuego,No disponible
Homicidio,2017,Septiembre,Panama,Masculino,25-29,Arma de Fuego,No disponible
Homicidio,2017,Septiembre,Panama,Femenino,40-44,Arma de Fuego,No disponible
Homicidio,2017,Septiembre,Panama,Masculino,No disponible,Arma de Fuego,No disponible
Homicidio,2017,Septiembre,Veraguas,Femenino,45-49,Arma de Fuego,No disponible
Homicidio,2017,Octubre,Panama,Masculino,18-24,Arma de Fuego,No disponible
Homicidio,2017,Octubre,Panama,Femenino,40-44,Arma de Fuego,No disponible
Homicidio,2017,Octubre,Panama,Masculino,18-24,Arma de Fuego,No disponible
Homicidio,2017,Octubre,Panama,Masculino,30-34,Arma de Fuego,No disponible
Homicidio,2017,Octubre,Panama,Masculino,18-24,Arma de Fuego,No disponible
Homicidio,2017,Octubre,Panama,Masculino,25-29,Arma de Fuego,No disponible
Homicidio,2017,Octubre,Panama,Masculino,30-34,Arma de Fuego,No disponible
Homicidio,2017,Octubre,Panama,Masculino,18-24,Arma de Fuego,No disponible
Homicidio,2017,Octubre,Panama,Masculino,30-34,Arma de Fuego,No disponible
Homicidio,2017,Octubre,Panama,Femenino,25-29,Arma Blanca,No disponible
Homicidio,2017,Octubre,Panama Oeste,Masculino,30-34,Arma Blanca,No disponible
Homicidio,2017,Octubre,Panama Oeste,Masculino,18-24,Arma de Fuego,No disponible
Homicidio,2017,Octubre,Panama,Masculino,18-24,Arma de Fuego,San Miguelito
Homicidio,2017,Octubre,Panama,Masculino,50-54,No disponible,San Miguelito
Homicidio,2017,Octubre,Panama,Masculino,18-24,Arma de Fuego,San Miguelito
Homicidio,2017,Octubre,Panama,Masculino,40-44,Arma de Fuego,San Miguelito
Homicidio,2017,Octubre,Panama,Masculino,50-54,Arma de Fuego,San Miguelito
Homicidio,2017,Octubre,Panama,Masculino,18-24,Arma de Fuego,San Miguelito
Homicidio,2017,Octubre,Panama,Masculino,55-59,Arma de Fuego,San Miguelito
Homicidio,2017,Octubre,Panama,Femenino,18-24,Arma de Fuego,San Miguelito
Homicidio,2017,Octubre,Panama,Masculino,30-34,Arma de Fuego,San Miguelito
Homicidio,2017,Octubre,Panama,Masculino,60-64,Arma de Fuego,San Miguelito
Homicidio,2017,Octubre,Panama,Masculino,30-34,Arma de Fuego,San Miguelito
Homicidio,2017,Octubre,Chiriqui,Masculino,18-24,Arma de Fuego,No disponible
Homicidio,2017,Octubre,Chiriqui,Masculino,45-49,Arma de Fuego,No disponible
